Result for strategy BigZ07
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   SAND/USDT |      9 |           1.39 |          12.55 |             3.162 |           3.95 |         6:27:00 |     9     0     0   100 |
|    GTO/USDT |      7 |           1.94 |          13.61 |             2.917 |           3.65 |         0:16:00 |     7     0     0   100 |
|  ALICE/USDT |      6 |           1.48 |           8.90 |             2.599 |           3.25 |         0:41:00 |     6     0     0   100 |
|   DATA/USDT |      7 |           1.47 |          10.29 |             2.379 |           2.97 |         0:41:00 |     7     0     0   100 |
|   STPT/USDT |      8 |           1.18 |           9.41 |             2.306 |           2.88 |         0:44:00 |     8     0     0   100 |
|  COCOS/USDT |      4 |           1.72 |           6.89 |             1.922 |           2.40 |         0:21:00 |     4     0     0   100 |
|  TFUEL/USDT |      4 |           2.14 |           8.57 |             1.806 |           2.26 |         0:19:00 |     4     0     0   100 |
|   MANA/USDT |      5 |           1.28 |           6.39 |             1.714 |           2.14 |         4:12:00 |     5     0     0   100 |
|    SLP/USDT |      4 |           1.40 |           5.59 |             1.598 |           2.00 |         1:00:00 |     4     0     0   100 |
|   DOGE/USDT |      5 |           1.39 |           6.95 |             1.564 |           1.95 |         0:27:00 |     5     0     0   100 |
|    TLM/USDT |      5 |           0.96 |           4.80 |             1.377 |           1.72 |         0:47:00 |     5     0     0   100 |
|   WING/USDT |      3 |           1.37 |           4.10 |             1.194 |           1.49 |        11:08:00 |     3     0     0   100 |
|   AAVE/USDT |      4 |           1.15 |           4.60 |             1.175 |           1.47 |         7:44:00 |     4     0     0   100 |
|    KSM/USDT |      5 |           1.04 |           5.19 |             1.152 |           1.44 |         0:39:00 |     5     0     0   100 |
|   HARD/USDT |      5 |           1.01 |           5.05 |             1.117 |           1.40 |         1:10:00 |     5     0     0   100 |
|   STMX/USDT |      3 |           1.37 |           4.10 |             0.980 |           1.22 |         4:20:00 |     3     0     0   100 |
|  AUDIO/USDT |      3 |           1.22 |           3.67 |             0.967 |           1.21 |         0:47:00 |     3     0     0   100 |
|    BTG/USDT |      6 |           0.72 |           4.30 |             0.941 |           1.18 |         1:08:00 |     6     0     0   100 |
|    ONE/USDT |      3 |           1.29 |           3.88 |             0.926 |           1.16 |         3:02:00 |     3     0     0   100 |
|   ANKR/USDT |      4 |           1.07 |           4.30 |             0.919 |           1.15 |         0:54:00 |     4     0     0   100 |
|   RUNE/USDT |      2 |           1.80 |           3.60 |             0.918 |           1.15 |         2:25:00 |     2     0     0   100 |
|    DOT/USDT |      3 |           1.43 |           4.30 |             0.907 |           1.13 |         0:27:00 |     3     0     0   100 |
|  WAVES/USDT |      3 |           1.27 |           3.81 |             0.902 |           1.13 |         0:32:00 |     3     0     0   100 |
|    ETC/USDT |      2 |           1.74 |           3.47 |             0.885 |           1.11 |         0:28:00 |     2     0     0   100 |
|    FTM/USDT |      2 |           1.80 |           3.60 |             0.824 |           1.03 |  1 day, 8:08:00 |     2     0     0   100 |
|   DOCK/USDT |     10 |           0.38 |           3.84 |             0.820 |           1.03 |         3:12:00 |     9     0     1  90.0 |
